epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,206.422,2.16796,1.81648,1.84395,0,0,0,0,1.25286,6.85156,0.64408,0.00131174,0.00131174,0.00131174
98,207.977,2.09358,1.72803,1.83737,0,0,0,0,1.67321,7.10938,0.80124,0.00131901,0.00131901,0.00131901
99,209.488,2.163,1.98786,2.0149,0,0,0,0,2.01421,7.33203,0.91537,0.00132614,0.00132614,0.00132614
100,211.011,2.25543,1.8348,1.99913,0,0,0,0,2.7714,7.86328,1.24205,0.00133313,0.00133313,0.00133313
101,212.53,2.29013,1.84467,1.8289,0,0,0,0,3.36661,8.21875,1.52566,0.00134,0.00134,0.00134
102,214.046,2.03979,1.78091,1.75923,0,0,0,0,3.18079,8.10156,1.46242,0.0013334,0.0013334,0.0013334
103,215.557,1.98615,1.75012,1.71133,0,0,0,0,2.57591,7.71875,1.1733,0.0013268,0.0013268,0.0013268
104,217.055,2.11636,1.80685,1.84397,0,0,0,0,2.22464,7.50781,0.98497,0.0013202,0.0013202,0.0013202
105,218.557,2.26968,1.69846,1.76752,0,0,0,0,2.48139,7.74219,1.05968,0.0013136,0.0013136,0.0013136
106,220.048,2.00421,1.8706,1.77666,0,0,0,0,3.86722,9.29688,1.96504,0.001307,0.001307,0.001307
107,221.564,2.09608,1.87372,1.82003,0.00099,0.02632,0.00465,0.00194,3.33851,6.94238,1.99594,0.0013004,0.0013004,0.0013004
108,223.089,1.83791,1.66012,1.662,0.00104,0.02632,0.00207,0.00083,3.58243,5.49377,1.84703,0.0012938,0.0012938,0.0012938
109,224.574,2.00234,1.70376,1.78247,0.00097,0.02632,0.00297,0.00149,3.20079,4.31141,1.58131,0.0012872,0.0012872,0.0012872
110,226.07,2.29329,1.76951,1.68554,0.31433,0.02632,0.02936,0.00518,2.44631,3.54048,1.4243,0.0012806,0.0012806,0.0012806
111,227.592,1.99481,1.65027,1.64157,0.28448,0.02632,0.03223,0.01191,2.52706,3.38997,1.31168,0.001274,0.001274,0.001274
112,229.109,2.01876,1.65086,1.53857,0.44001,0.05263,0.04321,0.02316,2.33978,3.16216,1.23268,0.0012674,0.0012674,0.0012674
113,230.659,2.03723,1.67155,1.72903,0.67692,0.05263,0.06063,0.03551,2.25008,3.09739,1.26667,0.0012608,0.0012608,0.0012608
114,232.146,2.14913,1.58365,1.58874,0.64536,0.05263,0.06217,0.0326,2.31805,3.03268,1.29753,0.0012542,0.0012542,0.0012542
115,233.663,2.19911,1.60023,1.65017,0.53497,0.05263,0.06414,0.03085,2.25412,2.93617,1.28412,0.0012476,0.0012476,0.0012476
116,235.134,1.94263,1.61923,1.66027,0.7075,0.05263,0.06635,0.03591,2.20518,2.86165,1.25949,0.001241,0.001241,0.001241
117,236.651,2.16,1.71529,1.77604,0.68399,0.05263,0.06731,0.02776,2.114,2.686,1.23498,0.0012344,0.0012344,0.0012344
