fotograma,tipo_objeto,confianza,identificador_tracking,x1,y1,x2,y2,matrícula_en_su_caso,confianza_matricula,mx1,my1,mx2,my2,texto_matricula
42.0,car,0,4,258,475,444,640,,0.0,0,0,0,0,
42.0,car,0,5,665,543,924,718,,0.0,0,0,0,0,
42.0,car,0,6,432,507,478,564,,0.0,0,0,0,0,
42.0,car,0,2,905,538,1436,819,5963CXZ,0.5131274282392777,432,64,502,86,5963CXZ
42.0,car,0,10,1380,572,1587,665,,0.0,0,0,0,0,
43.0,car,0,4,259,476,448,642,,0.0,0,0,0,0,
43.0,car,0,5,666,543,924,718,,0.0,0,0,0,0,
43.0,car,0,6,435,506,481,562,,0.0,0,0,0,0,
43.0,car,0,2,905,538,1437,819,5985302,0.34159711704566414,432,64,502,87,5985302
43.0,car,0,10,1384,572,1585,665,,0.0,0,0,0,0,
44.0,truck,0,4,260,477,450,643,,0.0,0,0,0,0,
44.0,car,0,5,667,544,924,718,,0.0,0,0,0,0,
44.0,car,0,6,438,508,486,557,,0.0,0,0,0,0,
44.0,car,0,2,906,538,1439,820,59836X2,0.32872294195467516,431,64,500,86,59836X2
44.0,car,0,10,1386,573,1584,665,,0.0,0,0,0,0,
45.0,car,0,4,260,479,453,643,,0.0,0,0,0,0,
45.0,car,0,5,668,544,925,719,,0.0,0,0,0,0,
45.0,car,0,6,441,509,484,553,,0.0,0,0,0,0,
45.0,car,0,2,906,538,1439,820,59836XZ,0.3958557541801263,432,64,501,86,59836XZ
45.0,car,0,10,1386,574,1573,662,,0.0,0,0,0,0,
46.0,car,0,4,262,480,456,645,,0.0,0,0,0,0,
46.0,car,0,5,669,543,926,719,,0.0,0,0,0,0,
46.0,car,0,6,445,510,484,553,,0.0,0,0,0,0,
46.0,car,0,2,907,538,1440,820,596502,0.25428105922571875,431,64,500,87,596502
46.0,car,0,10,1385,573,1564,663,,0.0,0,0,0,0,
47.0,truck,0,4,265,482,459,645,,0.0,0,0,0,0,
47.0,car,0,5,669,543,927,719,,0.0,0,0,0,0,
47.0,car,0,6,448,511,483,552,,0.0,0,0,0,0,
47.0,car,0,2,907,538,1439,819,59836XZ,0.8111770877082448,431,66,502,87,59836XZ
47.0,car,0,10,1386,574,1557,660,,0.0,0,0,0,0,
48.0,truck,0,4,267,479,463,646,,0.0,0,0,0,0,
48.0,car,0,5,669,543,928,720,,0.0,0,0,0,0,
48.0,car,0,6,452,513,487,552,,0.0,0,0,0,0,
48.0,car,0,2,908,539,1439,819,59036XZ,0.4562726810394593,431,64,501,86,59036XZ
48.0,car,0,10,1387,573,1554,659,,0.0,0,0,0,0,
49.0,truck,0,4,268,477,467,648,,0.0,0,0,0,0,
49.0,car,0,5,669,543,928,721,,0.0,0,0,0,0,
49.0,car,0,6,457,513,493,550,,0.0,0,0,0,0,
49.0,car,0,2,910,539,1439,819,59636XZ,0.480430970757976,428,65,499,87,59636XZ
49.0,car,0,10,1388,574,1547,659,,0.0,0,0,0,0,
50.0,truck,0,4,268,478,470,650,,0.0,0,0,0,0,
50.0,car,0,5,669,543,929,721,,0.0,0,0,0,0,
50.0,car,0,6,460,513,496,549,,0.0,0,0,0,0,
