fotograma,tipo_objeto,confianza,identificador_tracking,x1,y1,x2,y2,matrícula_en_su_caso,confianza_matricula,mx1,my1,mx2,my2,texto_matricula
67.0,bus,0,1,1326,200,1539,400,,0.0,0,0,0,0,
67.0,car,0,2,1287,319,1326,360,,0.0,0,0,0,0,
68.0,bus,0,1,1325,201,1536,397,,0.0,0,0,0,0,
68.0,car,0,2,1287,319,1325,359,,0.0,0,0,0,0,
69.0,bus,0,1,1324,202,1533,396,,0.0,0,0,0,0,
69.0,car,0,2,1287,320,1325,359,,0.0,0,0,0,0,
70.0,bus,0,1,1323,204,1530,395,,0.0,0,0,0,0,
70.0,car,0,2,1286,320,1326,360,,0.0,0,0,0,0,
71.0,bus,0,1,1324,205,1527,397,,0.0,0,0,0,0,
71.0,car,0,2,1286,319,1326,358,,0.0,0,0,0,0,
72.0,bus,0,1,1322,205,1524,396,,0.0,0,0,0,0,
72.0,car,0,2,1286,319,1324,358,,0.0,0,0,0,0,
73.0,bus,0,1,1320,208,1523,394,,0.0,0,0,0,0,
73.0,car,0,2,1286,319,1323,358,,0.0,0,0,0,0,
74.0,bus,0,1,1320,209,1520,393,,0.0,0,0,0,0,
74.0,car,0,2,1286,320,1323,357,,0.0,0,0,0,0,
75.0,bus,0,1,1320,210,1516,392,,0.0,0,0,0,0,
75.0,car,0,2,1285,321,1322,356,,0.0,0,0,0,0,
76.0,bus,0,1,1319,210,1513,392,,0.0,0,0,0,0,
76.0,car,0,2,1285,321,1321,355,,0.0,0,0,0,0,
77.0,bus,0,1,1319,211,1510,391,,0.0,0,0,0,0,
77.0,car,0,2,1285,317,1320,356,,0.0,0,0,0,0,
78.0,bus,0,1,1318,212,1507,391,,0.0,0,0,0,0,
78.0,car,0,2,1285,316,1318,356,,0.0,0,0,0,0,
79.0,bus,0,1,1318,212,1505,390,,0.0,0,0,0,0,
79.0,car,0,2,1285,313,1318,356,,0.0,0,0,0,0,
80.0,bus,0,1,1317,213,1503,390,,0.0,0,0,0,0,
80.0,car,0,2,1284,311,1318,355,,0.0,0,0,0,0,
81.0,bus,0,1,1316,214,1500,390,,0.0,0,0,0,0,
81.0,car,0,2,1284,311,1318,356,,0.0,0,0,0,0,
82.0,bus,0,1,1316,215,1499,389,,0.0,0,0,0,0,
82.0,car,0,2,1284,312,1317,356,,0.0,0,0,0,0,
83.0,bus,0,1,1316,215,1497,390,,0.0,0,0,0,0,
83.0,car,0,2,1284,313,1316,356,,0.0,0,0,0,0,
84.0,bus,0,1,1314,215,1495,389,,0.0,0,0,0,0,
84.0,car,0,2,1283,313,1315,355,,0.0,0,0,0,0,
85.0,bus,0,1,1314,215,1491,388,,0.0,0,0,0,0,
85.0,car,0,2,1284,310,1315,354,,0.0,0,0,0,0,
86.0,bus,0,1,1314,216,1489,388,,0.0,0,0,0,0,
86.0,car,0,2,1284,308,1315,354,,0.0,0,0,0,0,
87.0,bus,0,1,1316,216,1486,387,,0.0,0,0,0,0,
87.0,car,0,2,1284,308,1314,354,,0.0,0,0,0,0,
88.0,bus,0,1,1316,216,1485,386,,0.0,0,0,0,0,
88.0,car,0,2,1283,308,1314,353,,0.0,0,0,0,0,
89.0,bus,0,1,1315,216,1482,387,,0.0,0,0,0,0,
89.0,car,0,2,1284,308,1314,352,,0.0,0,0,0,0,
90.0,bus,0,1,1314,217,1480,385,,0.0,0,0,0,0,
90.0,car,0,2,1283,306,1314,351,,0.0,0,0,0,0,
91.0,truck,0,1,1313,218,1479,384,,0.0,0,0,0,0,
91.0,car,0,2,1282,307,1313,352,,0.0,0,0,0,0,
92.0,bus,0,1,1313,219,1477,383,,0.0,0,0,0,0,
92.0,car,0,2,1280,310,1313,354,,0.0,0,0,0,0,
93.0,bus,0,1,1314,220,1475,382,,0.0,0,0,0,0,
93.0,car,0,2,1280,311,1312,354,,0.0,0,0,0,0,
94.0,bus,0,1,1313,221,1471,382,,0.0,0,0,0,0,
94.0,car,0,2,1280,311,1312,353,,0.0,0,0,0,0,
95.0,bus,0,1,1312,223,1469,381,,0.0,0,0,0,0,
95.0,car,0,2,1278,308,1312,352,,0.0,0,0,0,0,
96.0,bus,0,1,1312,223,1466,381,,0.0,0,0,0,0,
