fotograma,tipo_objeto,confianza,identificador_tracking,x1,y1,x2,y2,matrícula_en_su_caso,confianza_matricula,mx1,my1,mx2,my2,texto_matricula
84.0,car,0,2,1096,305,1185,379,,0.0,0,0,0,0,
84.0,car,0,4,1342,323,1434,388,,0.0,0,0,0,0,
84.0,car,0,6,1304,320,1343,348,,0.0,0,0,0,0,
85.0,car,0,2,1095,305,1183,380,,0.0,0,0,0,0,
85.0,car,0,4,1343,323,1432,388,,0.0,0,0,0,0,
85.0,car,0,6,1304,320,1343,348,,0.0,0,0,0,0,
86.0,car,0,2,1094,304,1182,381,,0.0,0,0,0,0,
86.0,car,0,4,1342,323,1431,387,,0.0,0,0,0,0,
86.0,car,0,6,1304,320,1345,349,,0.0,0,0,0,0,
87.0,car,0,2,1093,304,1182,381,,0.0,0,0,0,0,
87.0,car,0,4,1340,323,1430,386,,0.0,0,0,0,0,
87.0,car,0,6,1304,320,1346,349,,0.0,0,0,0,0,
88.0,car,0,2,1091,304,1181,382,,0.0,0,0,0,0,
88.0,car,0,4,1340,323,1429,385,,0.0,0,0,0,0,
88.0,car,0,6,1303,319,1345,349,,0.0,0,0,0,0,
89.0,car,0,2,1089,305,1182,381,,0.0,0,0,0,0,
89.0,car,0,4,1339,322,1426,384,,0.0,0,0,0,0,
89.0,car,0,6,1303,319,1343,348,,0.0,0,0,0,0,
90.0,car,0,2,1087,306,1183,381,,0.0,0,0,0,0,
90.0,car,0,4,1336,323,1426,384,,0.0,0,0,0,0,
90.0,car,0,6,1303,319,1344,349,,0.0,0,0,0,0,
91.0,car,0,2,1085,306,1183,381,,0.0,0,0,0,0,
91.0,car,0,4,1335,324,1425,383,,0.0,0,0,0,0,
91.0,car,0,6,1303,319,1345,349,,0.0,0,0,0,0,
92.0,car,0,2,1083,306,1183,382,,0.0,0,0,0,0,
92.0,car,0,4,1334,324,1423,383,,0.0,0,0,0,0,
92.0,car,0,6,1303,319,1345,348,,0.0,0,0,0,0,
93.0,car,0,2,1083,306,1181,384,,0.0,0,0,0,0,
93.0,car,0,4,1334,324,1421,383,,0.0,0,0,0,0,
93.0,car,0,6,1302,319,1344,348,,0.0,0,0,0,0,
94.0,car,0,2,1079,307,1179,384,,0.0,0,0,0,0,
94.0,car,0,4,1333,324,1419,382,,0.0,0,0,0,0,
94.0,car,0,6,1302,319,1342,347,,0.0,0,0,0,0,
95.0,car,0,2,1078,308,1178,384,,0.0,0,0,0,0,
95.0,car,0,4,1333,324,1413,381,,0.0,0,0,0,0,
95.0,car,0,6,1302,318,1340,347,,0.0,0,0,0,0,
96.0,car,0,2,1075,308,1175,385,,0.0,0,0,0,0,
96.0,car,0,4,1333,323,1413,381,,0.0,0,0,0,0,
96.0,car,0,6,1302,318,1339,346,,0.0,0,0,0,0,
97.0,car,0,2,1074,307,1173,386,,0.0,0,0,0,0,
97.0,car,0,4,1331,323,1410,380,,0.0,0,0,0,0,
97.0,car,0,6,1303,319,1340,347,,0.0,0,0,0,0,
98.0,car,0,2,1072,307,1172,386,,0.0,0,0,0,0,
98.0,car,0,4,1331,324,1408,379,,0.0,0,0,0,0,
98.0,car,0,6,1303,319,1339,347,,0.0,0,0,0,0,
99.0,car,0,2,1070,307,1170,387,,0.0,0,0,0,0,
99.0,car,0,4,1329,324,1406,378,,0.0,0,0,0,0,
99.0,car,0,6,1303,320,1340,350,,0.0,0,0,0,0,
100.0,car,0,2,1068,306,1169,387,,0.0,0,0,0,0,
100.0,car,0,4,1328,324,1403,377,,0.0,0,0,0,0,
100.0,car,0,6,1303,321,1337,349,,0.0,0,0,0,0,
101.0,car,0,2,1066,306,1169,388,,0.0,0,0,0,0,
101.0,car,0,4,1327,324,1400,375,,0.0,0,0,0,0,
101.0,car,0,6,1303,322,1336,349,,0.0,0,0,0,0,
102.0,car,0,2,1064,306,1167,388,,0.0,0,0,0,0,
102.0,car,0,4,1328,324,1399,375,,0.0,0,0,0,0,
102.0,car,0,6,1304,322,1335,349,,0.0,0,0,0,0,
103.0,car,0,2,1062,307,1167,389,,0.0,0,0,0,0,
103.0,car,0,4,1327,323,1398,374,,0.0,0,0,0,0,
103.0,car,0,6,1304,322,1334,347,,0.0,0,0,0,0,
104.0,car,0,2,1061,307,1166,390,,0.0,0,0,0,0,
104.0,car,0,4,1325,323,1397,375,,0.0,0,0,0,0,
104.0,car,0,6,1303,322,1334,347,,0.0,0,0,0,0,
105.0,car,0,2,1060,306,1167,391,,0.0,0,0,0,0,
105.0,car,0,4,1323,323,1397,374,,0.0,0,0,0,0,
105.0,car,0,6,1303,322,1332,346,,0.0,0,0,0,0,
106.0,car,0,2,1057,307,1166,392,,0.0,0,0,0,0,
106.0,car,0,4,1320,322,1395,373,,0.0,0,0,0,0,
106.0,car,0,6,1304,323,1330,346,,0.0,0,0,0,0,
107.0,car,0,2,1054,306,1167,394,,0.0,0,0,0,0,
107.0,car,0,4,1317,321,1394,373,,0.0,0,0,0,0,
107.0,car,0,6,1304,323,1329,346,,0.0,0,0,0,0,
107.0,car,0,7,1166,316,1212,346,,0.0,0,0,0,0,
108.0,car,0,2,1052,306,1167,394,,0.0,0,0,0,0,
108.0,car,0,4,1317,320,1392,372,,0.0,0,0,0,0,
108.0,car,0,6,1304,322,1328,346,,0.0,0,0,0,0,
108.0,car,0,7,1170,316,1213,345,,0.0,0,0,0,0,
109.0,car,0,2,1049,306,1166,395,,0.0,0,0,0,0,
109.0,car,0,4,1317,320,1390,371,,0.0,0,0,0,0,
109.0,car,0,6,1304,322,1328,345,,0.0,0,0,0,0,
109.0,car,0,7,1171,316,1213,345,,0.0,0,0,0,0,
110.0,car,0,2,1045,306,1165,395,,0.0,0,0,0,0,
110.0,car,0,4,1315,322,1389,371,,0.0,0,0,0,0,
110.0,car,0,6,1304,323,1328,345,,0.0,0,0,0,0,
110.0,car,0,7,1173,315,1213,345,,0.0,0,0,0,0,
111.0,car,0,2,1042,306,1164,396,,0.0,0,0,0,0,
111.0,car,0,4,1315,323,1390,371,,0.0,0,0,0,0,
111.0,car,0,6,1304,323,1328,346,,0.0,0,0,0,0,
111.0,car,0,7,1174,315,1213,346,,0.0,0,0,0,0,
112.0,car,0,2,1039,306,1163,397,,0.0,0,0,0,0,
112.0,car,0,4,1315,323,1389,370,,0.0,0,0,0,0,
112.0,car,0,6,1304,322,1329,347,,0.0,0,0,0,0,
112.0,car,0,7,1173,315,1214,346,,0.0,0,0,0,0,
113.0,car,0,2,1036,307,1160,399,,0.0,0,0,0,0,
