fotograma,tipo_objeto,confianza,identificador_tracking,x1,y1,x2,y2,matrícula_en_su_caso,confianza_matricula,mx1,my1,mx2,my2,texto_matricula
42.0,car,0,1,665,543,924,718,,0.0,0,0,0,0,
42.0,car,0,2,905,539,1435,818,596307,0.5431988571991679,438,207,503,229,596307
42.0,car,0,3,1383,573,1587,666,,0.0,0,0,0,0,
43.0,car,0,1,905,538,1437,818,59030ZE,0.11581036021280092,436,206,507,230,59030ZE
43.0,car,0,2,667,543,924,718,,0.0,0,0,0,0,
43.0,car,0,3,1389,572,1583,664,,0.0,0,0,0,0,
44.0,car,0,1,668,544,925,718,,0.0,0,0,0,0,
44.0,car,0,2,906,538,1439,820,590302,0.759694993681864,436,206,499,230,590302
44.0,car,0,3,1388,573,1583,665,,0.0,0,0,0,0,
45.0,car,0,1,668,544,925,719,,0.0,0,0,0,0,
45.0,car,0,2,907,538,1439,819,59836YZ,0.46418947744229594,433,206,498,232,59836YZ
45.0,car,0,3,1388,575,1568,660,,0.0,0,0,0,0,
46.0,car,0,1,907,537,1439,819,59006X2,0.12993313952652513,434,207,500,233,59006X2
46.0,car,0,2,669,543,926,719,,0.0,0,0,0,0,
46.0,car,0,3,1386,573,1561,664,,0.0,0,0,0,0,
47.0,car,0,1,907,538,1438,819,59DZ,0.08484090119600296,438,209,505,231,59DZ
47.0,car,0,2,669,542,927,719,,0.0,0,0,0,0,
47.0,car,0,3,1388,574,1555,658,,0.0,0,0,0,0,
48.0,car,0,1,909,539,1438,818,59030KZ,0.38940474259037045,434,207,503,231,59030KZ
48.0,car,0,2,669,543,928,720,,0.0,0,0,0,0,
48.0,car,0,3,1389,573,1553,659,,0.0,0,0,0,0,
48.0,truck,0,4,267,478,464,646,,0.0,0,0,0,0,
49.0,car,0,1,910,539,1439,819,59830XZ,0.7442976995111102,433,207,503,231,59830XZ
49.0,car,0,2,669,543,928,721,,0.0,0,0,0,0,
49.0,car,0,3,1389,574,1545,659,,0.0,0,0,0,0,
50.0,car,0,1,911,540,1440,820,59810XZ,0.2755789842198871,430,205,505,230,59810XZ
50.0,car,0,2,669,543,929,721,,0.0,0,0,0,0,
50.0,car,0,3,1391,574,1538,659,,0.0,0,0,0,0,
51.0,car,0,1,910,539,1441,820,598302,0.44468199239314343,434,207,499,232,598302
51.0,car,0,2,671,544,929,722,,0.0,0,0,0,0,
51.0,car,0,3,1390,576,1529,660,,0.0,0,0,0,0,
52.0,car,0,1,911,538,1441,821,5980Z,0.4740282018183519,430,207,502,233,5980Z
52.0,car,0,2,672,545,929,723,,0.0,0,0,0,0,
52.0,car,0,3,1388,575,1526,660,,0.0,0,0,0,0,
53.0,car,0,1,673,545,928,723,,0.0,0,0,0,0,
53.0,car,0,2,912,539,1439,821,59030YZE,0.364602246970485,437,207,503,233,59030YZE
53.0,car,0,3,1385,576,1519,658,,0.0,0,0,0,0,
54.0,car,0,1,913,539,1439,819,59836XZ,0.36157912500473877,435,206,503,232,59836XZ
54.0,car,0,2,673,545,928,723,,0.0,0,0,0,0,
54.0,car,0,3,1383,575,1509,659,,0.0,0,0,0,0,
55.0,car,0,1,915,540,1440,820,59830XZ,0.45730011021922,430,207,502,232,59830XZ
55.0,car,0,2,674,545,929,723,,0.0,0,0,0,0,
55.0,car,0,3,1376,575,1503,657,,0.0,0,0,0,0,
56.0,car,0,1,915,540,1442,821,59850XZ,0.1718524046565255,433,206,501,232,59850XZ
56.0,car,0,2,674,545,929,723,,0.0,0,0,0,0,
56.0,car,0,3,1390,576,1502,653,,0.0,0,0,0,0,
57.0,car,0,1,914,542,1443,822,5002,0.1899528205394745,429,205,504,230,5002
57.0,car,0,2,675,545,930,723,,0.0,0,0,0,0,
