epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,207.181,1.83303,1.4093,1.42798,0.70956,0.45,0.4359,0.15672,2.3796,1.38145,1.20751,0.0013334,0.0013334,0.0013334
103,209.045,1.89671,1.46954,1.58082,0.61057,0.45,0.39791,0.13329,2.29541,1.34717,1.14276,0.0013268,0.0013268,0.0013268
104,210.954,1.96082,1.44878,1.47931,0.69078,0.44702,0.36508,0.11516,2.27804,1.40807,1.11994,0.0013202,0.0013202,0.0013202
105,212.827,1.96598,1.44167,1.53617,0.64897,0.45,0.37478,0.11047,2.35821,1.45623,1.14454,0.0013136,0.0013136,0.0013136
106,214.637,1.78248,1.30315,1.3904,0.66382,0.45,0.39577,0.12673,2.50037,1.43667,1.18347,0.001307,0.001307,0.001307
107,216.46,1.81008,1.42107,1.4945,0.76107,0.5,0.45797,0.16232,2.38989,1.35606,1.15789,0.0013004,0.0013004,0.0013004
108,218.357,1.7815,1.28696,1.37673,0.83053,0.49074,0.46546,0.16111,2.32512,1.27107,1.12854,0.0012938,0.0012938,0.0012938
109,220.217,1.82393,1.31663,1.41386,0.72525,0.5,0.49539,0.14297,2.45695,1.31226,1.16125,0.0012872,0.0012872,0.0012872
110,222.09,1.65194,1.25426,1.50254,0.86984,0.5,0.50703,0.16474,2.31907,1.2048,1.14525,0.0012806,0.0012806,0.0012806
111,224.05,1.74838,1.37682,1.48151,1,0.49568,0.51263,0.18523,2.17242,1.22252,1.12147,0.001274,0.001274,0.001274
112,225.928,1.81654,1.26993,1.3879,0.72032,0.4,0.41894,0.15994,2.23005,1.20622,1.11597,0.0012674,0.0012674,0.0012674
113,227.962,1.771,1.34703,1.60841,0.61132,0.47264,0.46858,0.16846,2.29843,1.23291,1.12412,0.0012608,0.0012608,0.0012608
114,229.859,1.76213,1.29298,1.49885,0.59003,0.45,0.40342,0.14839,2.21312,1.28185,1.11311,0.0012542,0.0012542,0.0012542
115,231.7,1.8384,1.38201,1.4808,0.5495,0.4,0.4073,0.15613,2.0986,1.30971,1.10269,0.0012476,0.0012476,0.0012476
116,233.536,1.71291,1.3246,1.36908,0.58671,0.35526,0.41479,0.15685,2.10606,1.22865,1.11866,0.001241,0.001241,0.001241
117,235.368,1.84425,1.2949,1.49521,0.69927,0.3489,0.39218,0.16393,2.14421,1.33234,1.10607,0.0012344,0.0012344,0.0012344
118,237.169,1.76275,1.27613,1.40857,0.54079,0.45,0.42512,0.19158,2.1578,1.37741,1.11468,0.0012278,0.0012278,0.0012278
119,238.993,1.66607,1.35267,1.42347,0.60842,0.5,0.45648,0.18611,2.26527,1.31589,1.16481,0.0012212,0.0012212,0.0012212
120,240.801,1.73349,1.2392,1.40191,0.66134,0.4,0.34323,0.1355,2.36102,1.39804,1.18139,0.0012146,0.0012146,0.0012146
121,242.646,1.76702,1.35409,1.45216,0.5492,0.4,0.34474,0.15549,2.22979,1.32195,1.1107,0.001208,0.001208,0.001208
122,244.49,1.63961,1.27511,1.38615,0.87232,0.34249,0.39343,0.12964,2.25515,1.37284,1.10396,0.0012014,0.0012014,0.0012014
123,246.369,1.73861,1.34525,1.43343,1,0.42441,0.49673,0.15087,2.43039,1.39034,1.12505,0.0011948,0.0011948,0.0011948
124,248.258,1.82565,1.29048,1.34684,0.95616,0.5,0.50942,0.17476,2.25743,1.4106,1.1003,0.0011882,0.0011882,0.0011882
125,250.174,1.71069,1.37705,1.47398,0.86313,0.45,0.51831,0.21892,1.95668,1.34869,1.07513,0.0011816,0.0011816,0.0011816
126,252.06,1.82789,1.30822,1.46767,0.79701,0.45,0.49723,0.20662,1.9276,1.36789,1.06777,0.001175,0.001175,0.001175
127,253.851,1.74684,1.30065,1.41964,0.81509,0.44148,0.51846,0.17861,2.13839,1.34533,1.09417,0.0011684,0.0011684,0.0011684
128,255.658,1.68954,1.21593,1.32992,0.70774,0.4,0.39827,0.15178,2.22883,1.27417,1.12123,0.0011618,0.0011618,0.0011618
129,257.531,1.65221,1.16647,1.29285,0.96734,0.35,0.4519,0.17804,2.19612,1.18393,1.12548,0.0011552,0.0011552,0.0011552
130,259.375,1.66014,1.171,1.33296,0.50345,0.5,0.47371,0.20023,2.20277,1.17496,1.11225,0.0011486,0.0011486,0.0011486
